id,title,subtitle,href,rel,updated,name,email,icon,summary,category,published,point,content
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PG22000013740","UNWANTED PERSON at 3000 NE 181ST AVE, GRSM",,,,2022-04-15T09:13:45.0-07:00,,,,"UNWANTED PERSON at 3000 NE 181ST AVE, GRSM [Gresham Police #PG22000013740]",,2022-04-15T09:02:07.0-07:00,45.544858 -122.479023,"<dl>
						<dt>ID:</dt>
						<dd>PG22000013740</dd>
						<dt>Call Type:</dt>
						<dd>UNWANTED PERSON</dd>
						<dt>Address:</dt>
						<dd>3000 NE 181ST AVE, GRSM</dd>
						<dt>Agency:</dt>
						<dd>Gresham Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:13:45 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099813","UNWANTED PERSON - WITH WEAPON *H at 4000 SE WOODSTOCK BLVD, PORT",,,,2022-04-15T09:18:16.0-07:00,,,,"UNWANTED PERSON - WITH WEAPON *H at 4000 SE WOODSTOCK BLVD, PORT [Portland Police #PP22000099813]",,2022-04-15T09:00:12.0-07:00,45.479571 -122.621134,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099813</dd>
						<dt>Call Type:</dt>
						<dd>UNWANTED PERSON - WITH WEAPON *H</dd>
						<dt>Address:</dt>
						<dd>4000 SE WOODSTOCK BLVD, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:18:16 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099847","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 5200 NE PRESCOTT ST, PORT",,,,2022-04-15T09:01:49.0-07:00,,,,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 5200 NE PRESCOTT ST, PORT [Portland Police #PP22000099847]",,2022-04-15T08:57:46.0-07:00,45.555303 -122.609527,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099847</dd>
						<dt>Call Type:</dt>
						<dd>SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE</dd>
						<dt>Address:</dt>
						<dd>5200 NE PRESCOTT ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:01:49 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099846","SUSPICIOUS - WITH WEAPON *H at SE 92ND AVE / SE DIVISION ST, PORT",,,,2022-04-15T08:52:54.0-07:00,,,,"SUSPICIOUS - WITH WEAPON *H at SE 92ND AVE / SE DIVISION ST, PORT [Portland Police #PP22000099846]",,2022-04-15T08:52:11.0-07:00,45.504472 -122.568634,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099846</dd>
						<dt>Call Type:</dt>
						<dd>SUSPICIOUS - WITH WEAPON *H</dd>
						<dt>Address:</dt>
						<dd>SE 92ND AVE / SE DIVISION ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 8:52:54 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099834","ASSAULT - COLD at SW 10TH AVE / SW WASHINGTON ST, PORT",,,,2022-04-15T09:08:55.0-07:00,,,,"ASSAULT - COLD at SW 10TH AVE / SW WASHINGTON ST, PORT [Portland Police #PP22000099834]",,2022-04-15T08:51:37.0-07:00,45.521343 -122.681380,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099834</dd>
						<dt>Call Type:</dt>
						<dd>ASSAULT - COLD</dd>
						<dt>Address:</dt>
						<dd>SW 10TH AVE / SW WASHINGTON ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:08:55 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099841","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4400 SE POWELL BLVD, PORT",,,,2022-04-15T09:28:43.0-07:00,,,,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4400 SE POWELL BLVD, PORT [Portland Police #PP22000099841]",,2022-04-15T08:47:11.0-07:00,45.496567 -122.616572,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099841</dd>
						<dt>Call Type:</dt>
						<dd>SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE</dd>
						<dt>Address:</dt>
						<dd>4400 SE POWELL BLVD, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:28:43 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PG22000013735","VEHICLE STOLEN - COLD at 2500 SW 14TH DR, GRSM",,,,2022-04-15T09:10:10.0-07:00,,,,"VEHICLE STOLEN - COLD at 2500 SW 14TH DR, GRSM [Gresham Police #PG22000013735]",,2022-04-15T08:43:50.0-07:00,45.487161 -122.458416,"<dl>
						<dt>ID:</dt>
						<dd>PG22000013735</dd>
						<dt>Call Type:</dt>
						<dd>VEHICLE STOLEN - COLD</dd>
						<dt>Address:</dt>
						<dd>2500 SW 14TH DR, GRSM</dd>
						<dt>Agency:</dt>
						<dd>Gresham Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:10:10 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099807","BURGLARY - COLD at 3300 SE 124TH AVE, PORT",,,,2022-04-15T08:57:43.0-07:00,,,,"BURGLARY - COLD at 3300 SE 124TH AVE, PORT [Portland Police #PP22000099807]",,2022-04-15T08:42:25.0-07:00,45.497797 -122.536412,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099807</dd>
						<dt>Call Type:</dt>
						<dd>BURGLARY - COLD</dd>
						<dt>Address:</dt>
						<dd>3300 SE 124TH AVE, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 8:57:43 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099797","THEFT - COLD at 7500 NE KILLINGSWORTH ST, PORT",,,,2022-04-15T09:10:28.0-07:00,,,,"THEFT - COLD at 7500 NE KILLINGSWORTH ST, PORT [Portland Police #PP22000099797]",,2022-04-15T08:36:24.0-07:00,45.562238 -122.585019,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099797</dd>
						<dt>Call Type:</dt>
						<dd>THEFT - COLD</dd>
						<dt>Address:</dt>
						<dd>7500 NE KILLINGSWORTH ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 9:10:28 AM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099831","THEFT - COLD at 2500 NE CESAR E CHAVEZ BLVD, PORT",,,,2022-04-15T08:53:23.0-07:00,,,,"THEFT - COLD at 2500 NE CESAR E CHAVEZ BLVD, PORT [Portland Police #PP22000099831]",,2022-04-15T08:35:20.0-07:00,45.541013 -122.623282,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099831</dd>
						<dt>Call Type:</dt>
						<dd>THEFT - COLD</dd>
						<dt>Address:</dt>
						<dd>2500 NE CESAR E CHAVEZ BLVD, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 8:53:23 AM PDT</dd>
					</dl>"
